,interface,Human Error,Claim,participant,Model Correct,Model Wrong
0,A,1,E1,P0,0,0
1,B,3,E1,P1,2,8
2,A,3,E1,P2,0,0
3,B,1,E1,P3,2,8
4,A,3,E1,P4,0,0
5,A,3,E1,P5,0,0
6,A,3,E1,P6,0,0
7,A,4,E1,P7,0,0
8,B,4,E1,P8,2,8
9,A,3,E1,P9,0,0
10,B,3,E1,P10,2,8
11,A,3,E1,P11,0,0
12,B,1,E1,P12,2,8
13,A,1,E1,P13,0,0
14,A,3,E1,P14,0,0
15,A,1,E1,P15,0,0
16,B,1,E1,P16,2,8
17,B,3,E1,P17,2,8
18,A,0,E1,P18,0,0
19,B,0,E1,P19,2,8
20,A,0,E1,P20,0,0
21,B,3,E1,P21,2,8
22,B,0,E1,P22,2,8
23,A,3,E1,P23,0,0
24,A,3,E1,P24,0,0
25,A,3,E1,P25,0,0
26,B,3,E1,P26,2,8
27,A,0,E1,P27,0,0
28,B,3,E1,P28,2,8
29,B,3,E1,P29,2,8
30,A,3,E1,P30,0,0
31,A,3,E1,P31,0,0
32,B,3,E1,P32,2,8
33,A,4,E1,P33,0,0
34,A,0,E1,P34,0,0
35,B,3,E1,P35,2,8
36,A,3,E1,P36,0,0
37,A,3,E1,P37,0,0
38,B,4,E1,P38,2,8
39,B,3,E1,P39,2,8
40,A,0,E1,P40,0,0
41,B,1,E1,P41,2,8
42,A,2,E1,P42,0,0
43,A,1,E1,P43,0,0
44,B,1,E1,P44,2,8
45,A,0,E1,P45,0,0
46,B,3,E1,P46,2,8
47,B,1,E1,P47,2,8
48,A,3,E1,P48,0,0
49,A,1,E1,P49,0,0
50,B,2,E1,P50,2,8
51,A,0,E1,P51,0,0
52,A,3,E1,P52,0,0
53,A,0,E1,P53,0,0
54,B,3,E1,P54,2,8
55,A,3,E1,P55,0,0
56,A,1,E1,P56,0,0
57,A,0,E1,P57,0,0
58,B,3,E1,P58,2,8
59,A,0,E1,P59,0,0
60,A,1,E1,P60,0,0
61,B,3,E1,P61,2,8
62,B,3,E1,P62,2,8
63,A,1,E1,P63,0,0
64,A,2,E1,P64,0,0
65,B,3,E1,P65,2,8
66,B,1,E1,P66,2,8
