,Points,Claim,participant,Condition,Extra Tasks
0,14,P1,par0,E,1
1,20,P1,par1,F,0
2,20,P1,par2,E,0
3,-13,P1,par3,F,1
4,0,P1,par4,E,1
5,14,P1,par5,E,0
6,-7,P1,par6,E,0
7,16,P1,par7,F,4
8,20,P1,par8,F,0
9,-12,P1,par9,E,0
10,-16,P1,par10,E,0
11,16,P1,par11,F,1
12,19,P1,par12,E,2
13,10,P1,par13,E,0
14,-10,P1,par14,F,7
15,10,P1,par15,E,0
16,19,P1,par16,E,0
17,15,P1,par17,E,0
18,14,P1,par18,E,0
19,19,P1,par19,E,0
20,19,P1,par20,F,4
21,16,P1,par21,F,0
22,-18,P1,par22,F,14
23,-12,P1,par23,F,1
24,-20,P1,par24,F,0
25,-14,P1,par25,E,0
26,15,P1,par26,F,1
27,-20,P1,par27,E,0
28,11,P1,par28,E,0
29,20,P1,par29,F,12
30,19,P1,par30,E,0
31,20,P1,par31,E,0
32,-19,P1,par32,F,0
33,19,P1,par33,E,1
34,-7,P1,par34,E,1
35,18,P1,par35,F,0
36,18,P1,par36,F,1
37,13,P1,par37,F,0
38,17,P1,par38,F,7
39,-9,P1,par39,E,2
40,16,P1,par40,E,0
41,20,P1,par41,E,0
42,15,P1,par42,E,1
43,19,P1,par43,F,0
44,16,P1,par44,E,0
45,17,P1,par45,F,0
46,20,P1,par46,E,0
47,-19,P1,par47,F,5
48,-20,P1,par48,E,1
49,11,P1,par49,F,0
50,17,P1,par50,F,0
51,18,P1,par51,F,0
52,19,P1,par52,E,1
53,14,P1,par53,F,2
54,18,P1,par54,E,1
55,14,P1,par55,E,3
56,-17,P1,par56,F,1
57,-12,P1,par57,F,0
58,0,P1,par58,F,3
59,15,P1,par59,F,0
60,20,P1,par60,F,0
61,14,P1,par61,E,0
62,16,P1,par62,F,0
63,16,P1,par63,E,0
64,18,P1,par64,F,0
65,20,P1,par65,F,0
66,-12,P1,par66,E,4
67,13,P1,par67,E,0
68,18,P1,par68,F,11
69,-20,P1,par69,F,3
70,-15,P1,par70,E,2
71,-14,P1,par71,E,30
72,10,P1,par72,F,8
73,12,P1,par73,F,7
74,11,P1,par74,E,0
75,14,P1,par75,E,0
76,-10,P1,par76,E,31
77,20,P1,par77,E,7
78,-16,P1,par78,F,11
79,-16,P1,par79,F,0
80,14,P1,par80,E,0
81,-20,P1,par81,E,15
82,15,P1,par82,E,0
83,17,P1,par83,E,1
84,-15,P1,par84,E,4
85,14,P1,par85,F,0
86,16,P1,par86,E,0
87,18,P1,par87,F,0
88,13,P1,par88,F,2
89,2,P1,par89,F,4
90,-16,P1,par90,E,0
91,17,P1,par91,F,1
92,19,P1,par92,E,5
93,17,P1,par93,F,0
94,19,P1,par94,F,0
95,14,P1,par95,E,5
96,-18,P1,par96,E,0
97,10,P1,par97,E,24
98,16,P1,par98,F,0
99,-17,P1,par99,E,7
100,-11,P1,par100,E,2
101,15,P1,par101,F,0
102,-16,P1,par102,E,1
103,15,P1,par103,F,1
104,-14,P1,par104,E,3
105,20,P1,par105,F,5
106,14,P2,par0,E,1
107,20,P2,par1,F,0
108,20,P2,par2,E,0
109,10,P2,par3,F,1
110,18,P2,par4,E,1
111,15,P2,par5,E,0
112,16,P2,par6,E,0
113,8,P2,par7,F,4
114,20,P2,par8,F,0
115,14,P2,par9,E,0
116,18,P2,par10,E,0
117,17,P2,par11,F,1
118,18,P2,par12,E,2
119,-10,P2,par13,E,0
120,10,P2,par14,F,7
121,10,P2,par15,E,0
122,12,P2,par16,E,0
123,17,P2,par17,E,0
124,12,P2,par18,E,0
125,19,P2,par19,E,0
